Book Title,Description,Author,Category /Shelf Code,Volume,Language,Old Shelf Code,OLD Acc No,Publisher,Year of Publication,NEW SHELF CODE,CHECKED,BOOK ID,ISBN,
 Sri Dakshinamurthy Stotram,Panchakaranam,Durvi Ramakrishna Rao,Advaita,,Telugu,NA(G6),1706,"Durvi Ramakrishna Rao, Rajmahendrapuram",1958,ADV-DRR,,1001,,
Aadarsha Bhaktulu,NIL,P. Satya Narayana Rao,Advaita,,Telugu,NA(J5),3690,"Geeta Press, Gorakhpur",2012,ADV-,,1002,,
Aatma Anubhuti ,NIL,T. Chakradhara Rao,Advaita,,Telugu,NA(J6),3471,"Bharadwaja Publications, Hyderabad",2013,ADV- CR,,1003,,
Aatma Sakshatkaram Sastram,NIL,Smt. Vijaya Sarva Lakshmi & OThers,Advaita,,Telugu,NA(J6),4292,"Bhakti Vedanta Book Trust,Hyderabad ",NA,ADV-VS,,1004,,
Aatma Sakshatkaram Sastram,NIL,Smt. Vijaya Sarva Lakshmi & OThers,Advaita,,Telugu,NA(J6),4207,"Bhakti Vedanta Book Trust,Hyderabad ",2007,ADV-VS,,1005,,
Aavaduta Gita,NIL,Pammi Tyagaraya Selli,Advaita,,Telugu,6,372,Rajarajeshwara Press ,1923,ADV-PT,,1006,,
Adishankarula Guru Parampara,Athmajana Katha Sumavali,Annaogi Venkata Shesha Lakshmi,Advaita,,Telugu,NA,4036,Dipthi Tecnical Printars,,ADV-ADI,,1007,,
Advaita,Of Sri Sankaracharya,Swami Madhavananda,Advaita,,English,5,778,"Advaita Ashram, Calcutta, India",1926,ADV-,,1008,,
Advaita Makaranada,Swayam Prakasayati,Lakshmidhara,Advaita,,Sanskrit,3,27,"R.Krishnaswami Sastri, Tiurlturaipundi Madras",1926,ADV- La,,1009,,
Advaita Makarandaha,NIL,TTT,Advaita,,Telugu,3,3612,"Sadhana Grantha Mandali, Tenali, A.P.",1968,ADV- HSS,,1010,,
 ,Upanyasamulu,Devarakonda SheshagiriRao,Advaita,,Telugu,RRB1,NIL,Maha vidyapeet,2009,ADV-,,1011,,
Advaita Vijayah:,NIL,M. V. Subbramaniyam Sastry,Advaita,,Telugu,NA(J5),2393,"Sri Vijayalakshmi Offset, Chirala",2002,ADV-,,1012,,
Advaita Vijayah:,NIL,M. V. Subbramaniyam Sastry,Advaita,,Telugu,NA(J5),2393,"Sri Vijayalakshmi Offset, Chirala",2002,ADV-MVS,,1013,,
Advitha Vedanta Paribhasha,NIL,Rama Krishna dikshita,Advaita,,Telugu,6,186,"The ""Vavilla"" & Others, Madras",1927,ADV-RKD,,1014,,
Ahladini Shakti,NIL,Swami Shivom Teerta Maharaj,Advaita,,Telugu,2,2939,"Deevela Satyanarayana, Ongole, A.P.",1994,ADV- SwST,,1015,,
Amrita Binduvulu,NA,Pullati Sri Ramulu,Advaita,,Telugu,A5,2701,"Vijayabharati Printers, Srikakulam",1990,ADV- PSR,,1016,,
Amrita Binduvumu,Be fearless,Srividya Prakashanandagiri ,Advaita,,Telugu,A5,2096,Sri Sukrabrahmasramulu Sri Kakahasti,1989,ADV-SP,,1017,,
Ananda yogam,Nil,Gouribhatla vittalasharma,Advaita,,Telugu,RRB1,NIL,"Brahmavidya foundation, Hyderabad",2020,ADV-,,1018,,
"Anandashrama Sanskrita Granthavali, Series No-69-Gynanarna Vathantram",NIL,Hari Narayana Apte,Advaita,,Sanskrit,3,108,"Anand Ashram, Publishers",1912,ADV- HNA,,1019,,
Andhra Sutrabhashyamu,NA,P.Mallayya Sastry,Advaita,,Telugu,A5,1068,TTD Samsthan M.V.S.Prasad,1991,ADV- PMS,,1020,,
Ashtakavarga Geeta- Sri Sri Ravi Shankarji,"Part-2, ",Smt. B. Neelakar,Advaita,,Telugu,NA(J6),393,"The Art of Living, Sri Sri Publications Trust, Bengaluru",2013,ADV-,,1021,,
Ashtakavarga Paddhati,NIL,K.V. Mallikarjuna Rao,Advaita,,Telugu,NA(J6),3834,"Rushi Publications,Vijayawada",2008,ADV-KVM,,1022,,
Ashtavakra Geeta,NIL,Sri Chukka Appalawsami,Advaita,,Telugu,E1,4004,"Sri Vyasaramam,Chittoor Distt",2008,ADV- CASw,,1023,,
Ashtavakra Geeta,,Sri RAamana Ashramam,Advaita,,English,,3137,"Sri Ramanasramam, Tiruvannamalai",2001,ADV- SRA,,1024,,
Ashtavakra Geeta,NIL,NA,Advaita,,Telugu,7,858,NA,1928,ADV-NA,,1025,,
Ashtavakra Geeta,NIL,C. Appala Swami,Advaita,,Telugu,6,585,"Vyasa Ashramam ,Chittoor",1988,ADV-CAS,,1026,,
Ashtavakra Sahitam,NIL,Bulusu Venkateswarulu,Advaita,,Telugu,NA(J5),393,"Vavilla Ramaswami Sastrulu, Madras",NA,ADV-,,1027,,
